,Date :,9/27/2021 12:49,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210906_12,VF092721_111823,day0_trial6,Chamber 2,,,Sound 2,6,11.933,2.31,39.78,88.43,0,802
210906_12,VF092721_111823,day0_trial6,Chamber 2,,,Sound 3,5,18.433,3.57,61.44,54.35,0,802
210906_12,VF092721_111823,day0_trial6,Chamber 2,,,Shock 1,0,0,0,0,1284.38,141,2932
210906_12,VF092721_111823,day0_trial6,Chamber 2,,,Shock 2,0,0,0,0,1475.9,277,4572
210906_12,VF092721_111823,day0_trial6,Chamber 2,,,Shock 3,0,0,0,0,1165.62,0,2955
,,,,,,,,,,,,,
210906_13,VF092721_113019,day0_trial7,Chamber1,,,Sound 1,4,2.033,0.39,6.78,112.55,0,1160
210906_13,VF092721_113019,day0_trial7,Chamber1,,,Sound 2,11,9.667,1.87,32.22,29.87,0,467
210906_13,VF092721_113019,day0_trial7,Chamber1,,,Sound 3,11,19.033,3.69,63.44,19.67,0,359
210906_13,VF092721_113019,day0_trial7,Chamber1,,,Shock 1,0,0,0,0,526.43,24,3216
210906_13,VF092721_113019,day0_trial7,Chamber1,,,Shock 2,0,0,0,0,792.68,12,3407
210906_13,VF092721_113019,day0_trial7,Chamber1,,,Shock 3,0,0,0,0,438.7,0,1249
,,,,,,,,,,,,,
210906_14,VF092721_113019,day0_trial7,Chamber 2,,,Sound 1,0,0,0,0,536.67,6,1911
210906_14,VF092721_113019,day0_trial7,Chamber 2,,,Sound 2,7,5.1,0.99,17,147.11,0,1357
210906_14,VF092721_113019,day0_trial7,Chamber 2,,,Sound 3,4,6.6,1.28,22,156.7,0,1367
210906_14,VF092721_113019,day0_trial7,Chamber 2,,,Shock 1,0,0,0,0,1302.22,253,3984
210906_14,VF092721_113019,day0_trial7,Chamber 2,,,Shock 2,0,0,0,0,1385.72,231,3385
210906_14,VF092721_113019,day0_trial7,Chamber 2,,,Shock 3,0,0,0,0,1093.23,123,2616
,,,,,,,,,,,,,
210906_15,VF092721_114355,day0_trial8,Chamber1,,,Sound 1,9,5.133,0.99,17.11,90.72,0,736
210906_15,VF092721_114355,day0_trial8,Chamber1,,,Sound 2,6,10.933,2.12,36.44,58.19,0,691
210906_15,VF092721_114355,day0_trial8,Chamber1,,,Sound 3,7,11.733,2.27,39.11,93.59,0,972
210906_15,VF092721_114355,day0_trial8,Chamber1,,,Shock 1,0,0,0,0,550.97,52,1773
210906_15,VF092721_114355,day0_trial8,Chamber1,,,Shock 2,0,0,0,0,512.07,0,1482
210906_15,VF092721_114355,day0_trial8,Chamber1,,,Shock 3,0,0,0,0,755.88,15,3628
,,,,,,,,,,,,,
210906_16,VF092721_114355,day0_trial8,Chamber 2,,,Sound 1,1,0.667,0.13,2.22,467.81,0,2248
210906_16,VF092721_114355,day0_trial8,Chamber 2,,,Sound 2,4,6.8,1.32,22.67,183.09,0,1491
210906_16,VF092721_114355,day0_trial8,Chamber 2,,,Sound 3,3,9.1,1.76,30.33,173.59,0,1521
210906_16,VF092721_114355,day0_trial8,Chamber 2,,,Shock 1,0,0,0,0,1452.48,71,5228
210906_16,VF092721_114355,day0_trial8,Chamber 2,,,Shock 2,0,0,0,0,1571.1,0,5492
210906_16,VF092721_114355,day0_trial8,Chamber 2,,,Shock 3,0,0,0,0,1229.2,0,4235
,,,,,,,,,,,,,
210906_17,VF092721_115512,day0_trial9,Chamber1,,,Sound 1,12,7.3,1.41,24.33,76.05,0,506
210906_17,VF092721_115512,day0_trial9,Chamber1,,,Sound 2,16,17.5,3.39,58.33,15,0,305
