,Date :,5/27/2021 17:41,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210112_24,VF050321_122353,11_day0,Chamber 2,,,Shock 2,2,1.767,0.34,88.33,4.1,0,70
210112_24,VF050321_122353,11_day0,Chamber 2,,,Shock 3,2,1.867,0.36,93.33,2.22,0,17
,,,,,,,,,,,,,
210112_25,VF050321_123642,12_day0,Chamber1,,,Sound 1,10,27.2,5.27,90.67,2.44,0,73
210112_25,VF050321_123642,12_day0,Chamber1,,,Sound 2,1,30,5.81,100,0,0,1
210112_25,VF050321_123642,12_day0,Chamber1,,,Sound 3,1,30,5.81,100,0.06,0,11
210112_25,VF050321_123642,12_day0,Chamber1,,,Shock 1,1,0.767,0.15,38.33,80.53,0,608
210112_25,VF050321_123642,12_day0,Chamber1,,,Shock 2,0,0,0,0,145.03,0,1118
210112_25,VF050321_123642,12_day0,Chamber1,,,Shock 3,0,0,0,0,115.73,0,616
,,,,,,,,,,,,,
210112_26,VF050321_123642,12_day0,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.33,0,16
210112_26,VF050321_123642,12_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.01,0,1
210112_26,VF050321_123642,12_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.11,0,14
210112_26,VF050321_123642,12_day0,Chamber 2,,,Shock 1,1,0.967,0.19,48.33,5.32,0,27
210112_26,VF050321_123642,12_day0,Chamber 2,,,Shock 2,3,1.067,0.21,53.33,14.8,0,157
210112_26,VF050321_123642,12_day0,Chamber 2,,,Shock 3,2,1.267,0.25,63.33,9.38,0,117
,,,,,,,,,,,,,
210112_27,VF050321_124859,13_day0,Chamber1,,,Sound 1,8,28.333,5.49,94.44,2.45,0,102
210112_27,VF050321_124859,13_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.09,0,7
210112_27,VF050321_124859,13_day0,Chamber1,,,Sound 3,4,29.333,5.68,97.78,0.7,0,66
