,Date :,7/5/2022 12:07,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Sound 2,5,2.8,0.54,9.33,184.45,0,994
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Sound 3,12,22.3,4.32,74.33,11.01,0,177
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Shock 1,0,0,0,0,1383.33,14,4261
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Shock 2,0,0,0,0,1072.1,60,3741
220606_12,VF070522_113942,day0_trial6,Chamber 2,,,Shock 3,0,0,0,0,1028.52,0,3108
,,,,,,,,,,,,,
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Sound 1,3,1.633,0.32,5.44,65.64,0,427
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Sound 2,12,18.1,3.51,60.33,18.49,0,638
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Sound 3,16,26.4,5.12,88,3.5,0,186
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Shock 1,0,0,0,0,508.3,0,2993
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Shock 2,0,0,0,0,372.85,21,978
220606_13,VF070522_115149,day0_trial7,Chamber1,,,Shock 3,0,0,0,0,371.72,0,1671
,,,,,,,,,,,,,
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Sound 1,7,4.3,0.83,14.33,151.26,0,1232
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Sound 2,11,8.833,1.71,29.44,101.86,0,707
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Sound 3,10,16.8,3.26,56,27.44,0,306
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Shock 1,0,0,0,0,969.93,2,3498
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Shock 2,0,0,0,0,743.58,37,2288
220606_14,VF070522_115149,day0_trial7,Chamber 2,,,Shock 3,0,0,0,0,765.18,8,1848
